单词,词性1,词性2,词性3,词性4,词性5,释义1,释义2,释义3,释义4,释义5,现在分词,过去式,过去分词,词组,备注
accuse,vt.,控告，指责,vi.,指控，指责,,,,,,,accusing,accused,accused,,
accustomed,adj.,惯常的；习惯的，适应的(一般作表语),,,,,,,,,,,,,
ache,vi.,痛；哀怜,n.,(指连续)疼痛、酸痛,,,,,,,aching,ached,ached,,
achieve,vt.,实现，完成；达到，得到,vi.,达到预期目的,,,,,,,achieving,achieved,achieved,,
acid,n.,"酸,酸性物质",adj.,"酸的,酸味的；尖刻的",,,,,,,,,,,
acknowledge,vt.,承认；接受；告知(信件等的)收到；答谢,,,,,,,,,acknowledging,acknowledged,acknowledged,,
acquaint,vt.,(with)使认识，使了解，使熟悉,,,,,,,,,acquainting,acquainted,acquainted,,
acquaintance,n.,认识，相识，了解；相识的人，熟人,,,,,,,,,,,,,
acquire,v.,获得；学到(知识等)；养成(习惯),,,,,,,,,acquiring,acquired,acquired,,
acquisition,n.,取得，学到，养成(习惯)；获得的东西,,,,,,,,,,,,,
acre,n.,英亩；田地；地产,,,,,,,,,,,,,
acrobat,n.,特技演员，杂技演员,,,,,,,,,,,,,
across,prep.,横过，越过；在的对面,adv.,横过，穿过,,,,,,,,,,,
act,v.,表演；举动；起作用,n.,行为，法令；一幕,,,,,,,acting,acted,acted,,
action,n.,行动，动作；作用；运转；行为；战斗,,,,,,,,,,,,,
activate,vt.,启动，激活；驱动，驱使；使开始起作用,,,,,,,,,activating,activated,activated,,
active,adj.,活跃的，敏捷的，积极的；在活动中的,,,,,,,,,,,,,
activity,n.,活动；活力；能动性,,,,,,,,,,,,,
actor,n.,男演员；演员，行动者,,,,,,,,,,,,,
actress,n.,女演员,,,,,,,,,,,,,
actual,adj.,实际的；现实的，真实的，目前的,,,,,,,,,,,,,
acuity,n.,敏锐，敏锐度，分辨力,,,,,,,,,,,,,非大纲单词
acute,adj.,剧烈的；敏锐的；成锐角的；尖的，高音的,,,,,,,,,,,,,
adapt,vt.,使适应，使适合；改编；改写,vi.,适应,,,,,,,adapting,adapted,adapted,,
add,vt.,加；增加(进)；进一步说/写,vi.,(to)增添,,,,,,,adding,added,added,,
addict,v.,使沉溺；使上瘾,n.,沉溺于不良嗜好的人,,,,,,,addicting,addicted,addicted,,
addition,n.,加，加法；附加部分，增加(物),,,,,,,,,,,,,
additional,adj.,额外的，附加的，另外的,,,,,,,,,,,,,
address,n.,住址；致词,v.,向…致词；在信封上写姓名,,,,,,,addressing,addressed,addressed,,
adequate,adj.,充足的，足够的；适当的，胜任的,,,,,,,,,,,,,
adhere,vi.,(to)粘着；坚持，遵守；依附，追随,,,,,,,,,adhering,adhered,adhered,,
adjacent,adj.,(to)(时间上)紧接着的；邻近的，毗邻的,,,,,,,,,,,,,
adjective,n.,形容词,adj.,形容词的，用作形容词的,,,,,,,,,,,
adjoin,v.,临近，靠近；贴近，毗连,,,,,,,,,adjoining,adjoined,adjoined,,
adjust,vt.,调节；整顿，调整,vi.,适应(to)；使调节,,,,,,,adjusting,adjusted,adjusted,,
administer,v.,施行，实施；掌管，料理…的事务；给予,,,,,,,,,administering,administered,administered,,
administration,n.,经营，管理；行政，行政机关，管理部门,,,,,,,,,,,,,
admire,vt.,"钦佩,赞赏,羡慕；称赞,夸奖",,,,,,,,,admiring,admired,admired,,
admission,n.,允许进入；承认；入场费，入会费，入场券,,,,,,,,,,,,,
admit,vt.,承认，供认；准许…进入，准许…加入,,,,,,,,,admitting,admitted,admitted,,
adolescent,n.,青少年,adj.,青春期的，青少年的,,,,,,,,,,,
adopt,vt.,采用，采取(态度等)；选定；收养,,,,,,,,,adopting,adopted,adopted,,
adore,vt.,"崇拜,敬慕,爱慕；非常喜欢",,,,,,,,,adoring,adored,adored,,
adult,n.,成年人,adj.,成年的，充分长成的，成熟的,,,,,,,,,,,
advance,n.,前进，预付,vi.,前进，进展,vt.,促进，推进,,,,,advancing,advanced,advanced,,
advanced,adj.,超前的，先进的；高级的；开明的；前进的,,,,,,,,,,,,,
advantage,n.,优点，长处，有利条件；利益，好处,,,,,,,,,,,,,
advent,n.,(重要事件等的)到来，来临,,,,,,,,,,,,,
adventure,n.,冒险，冒险活动，奇遇,vt.,大胆进行,,,,,,,adventuring,adventured,adventured,,
adverb,n.,副词,adj.,副词的,,,,,,,,,,,
adverse,adj.,逆的，相反的；敌对的；不利的；有害的,,,,,,,,,,,,,
advertise,vt.,公告，公布；为…做广告,vi.,登广告,,,,,,,advertising,advertised,advertised,,
advice,n.,劝告，忠告，(医生等的)意见,,,,,,,,,,,,,
advisable,adj.,可取的，适当的，明智的,,,,,,,,,,,,,
advise,vt.,忠告，劝告，建议；通知，告知,,,,,,,,,advising,advised,advised,,
advocate,n.,辩护者，拥护者，鼓吹者,vt.,拥护，提倡,,,,,,,advocating,advocated,advocated,,
aerial,adj.,(在或来自)空中的，航空的,n.,天线,,,,,,,,,,,
aeroplane,n.,(airplane)(英)飞机,,,,,,,,,,,,,
aesthetic,adj.,(esthetic)美学的，艺术的；审美的,,,,,,,,,,,,,
affair,n.,[pl.]事务；事情(件)；(个人的)事,,,,,,,,,,,,,
affect,vt.,影响；(疾病)侵袭；感动,n.,情感，感情,,,,,,,affecting,affected,affected,,
affection,n.,爱，喜爱；爱慕之情；感情；疾病，不适,,,,,,,,,,,,,
affiliate,v.,使隶属(或附属)于,n.,附属机构，分公司,,,,,,,affiliating,affiliated,affiliated,,
affirm,vt.,"断言，坚持声称；肯定；证实,确认",,,,,,,,,affirming,affirmed,affirmed,,
affluent,adj.,富裕的，富有的，丰富的，富饶的,,,,,,,,,,,,,
afford,vt.,担负得起(损失、费用、后果等)，买得起,,,,,,,,,affording,afforded,afforded,,
afraid,adj.,害怕的，恐惧的；犯愁的，不乐意的,,,,,,,,,,,,,
after,prep.,在…以后；在…后面,adv.,以后，后来,,,,,,,,,,,
afternoon,n.,下午，午后,,,,,,,,,,,,,
afterward,adv.,(afterwards)以后，后来,,,,,,,,,,,,,
afterwards,adv.,后来，以后,,,,,,,,,,,,,非大纲单词
again,adv.,再次，另一次；重新；除此，再，更，还,,,,,,,,,,,,,
against,prep.,对着，逆；反对；违反；紧靠着；对比,,,,,,,,,,,,,
age,n.,年龄；时代；老年；长时间,v.,(使)变老,,,,,,,aging,aged,aged,,
agency,n.,代理(处)；代办处；[美](政府的)机关，厅,,,,,,,,,,,,,
agenda,n.,议事日程，记事册,,,,,,,,,,,,,
agent,n.,代理人；代理商；产生作用的人或事物,,,,,,,,,,,,,
aggravate,vt.,"加重(剧),使恶化；激怒,使恼火",,,,,,,,,aggravating,aggravated,aggravated,,
aggressive,adj.,侵略的，好斗的，有进取心的，敢作敢为的,,,,,,,,,,,,,
agitate,v.,摇动(液体)；使焦虑不安；困扰；鼓动,,,,,,,,,agitating,agitated,agitated,,
ago,adv.,(常和一般过去时的动词连用)以前，…前,,,,,,,,,,,,,
agony,n.,(精神或肉体的)极大痛苦，创伤,,,,,,,,,,,,,
agree,vi.,答应，赞同；适合，一致；商定，约定,,,,,,,,,agreeing,agreed,agreed,,
agreeable,adj.,符合的；一致的；欣然同意的；令人愉快的,,,,,,,,,,,,,
agreement,n.,协定；协议；契约；达成协议；同意，一致,,,,,,,,,,,,,
agriculture,n.,农业，农艺，农耕,,,,,,,,,,,,,
ahead,adv.,在前面(头)；向(朝)前；提前,,,,,,,,,,,,,
aid,n.,援助，救护；助手，辅助物,vi.,援助，救援,,,,,,,aiding,aided,aided,,
aim,n.,目的；瞄准,vi.,(at)目的在于,vt.,把…瞄准,,,,,aiming,aimed,aimed,,
air,n.,空气；(复数)神气,vt.,(使)通风；晾干,,,,,,,airing,aired,aired,,
air-conditioning,n.,空调设备，空调系统,,,,,,,,,,,,,
aircraft,n.,飞机，飞船，飞行器,,,,,,,,,,,,,
airline,n.,(飞机)航线,adj.,(飞机)航线的,,,,,,,,,,,
airport,n.,机场，航空站，航空港,,,,,,,,,,,,,
aisle,n.,(教堂、教室、戏院等里的)过道，通道,,,,,,,,,,,,,
alarm,n.,惊恐；警报(器),vt.,惊动，惊吓；向…报警,,,,,,,alarming,alarmed,alarmed,,
album,n.,"(同一表演者的)集锦密纹唱片;集邮册,相册",,,,,,,,,,,,,
alcohol,n.,酒精，乙醇；含酒精的饮料,,,,,,,,,,,,,
alert,adj.,机警的，警觉的；机灵的,vt.,使…警觉,,,,,,,alerting,alerted,alerted,,
algorithm,n.,算法，运算法则,,,,,,,,,,,,,非大纲单词
alien,n.,外侨，外国人；外星人,adj.,外国的；相异的,,,,,,,,,,,
alike,adj.,同样的，相像的,adv.,一样地；同程度地,,,,,,,,,,,
alive,adj.,活着的；存在的；活跃的；(to)敏感的,,,,,,,,,,,,,
all,adj.,全部的；非常的,adv.,完全地，很,pron.,全部,,,,,,,,,
allege,v.,断言，宣称；指控,,,,,,,,,alleging,alleged,alleged,,
alleviate,v.,减轻，缓和，缓解(痛苦等),,,,,,,,,alleviating,alleviated,alleviated,,
alliance,n.,同盟，同盟国；结盟，联姻,,,,,,,,,,,,,
allocate,v.,分配，分派；拨给；划归,,,,,,,,,allocating,allocated,allocated,,
allot,v.,分配，分派，拨给,,,,,,,,,allotting,allotted,allotted,,非大纲单词
allow,vt.,允许，准许；承认；给予；(for)考虑到,,,,,,,,,allowing,allowed,allowed,,
allowance,n.,补贴，津贴；零用钱；减价，折扣；允许,,,,,,,,,,,,,
alloy,n.,合金,vt.,将…铸成合金,,,,,,,alloying,alloyed,alloyed,,
ally,n.,同盟者，同盟国,vt.,使结盟；与…有关联,,,,,,,allying,allied,allied,,
almost,adv.,几乎，差不多,,,,,,,,,,,,,
alone,adj.,单独的，孤独的,adv.,单独地，独自地；仅仅,,,,,,,,,,,
along,adv.,向前；和…一起，一同,prep.,沿着，顺着,,,,,,,,,,,
alongside,adv.,在旁边,prep.,和…在一起；在…旁边,,,,,,,,,,,
aloud,adv.,出声地，大声地,,,,,,,,,,,,,
alphabet,n.,字母表；初步，入门,,,,,,,,,,,,,
already,adv.,已，已经，早已,,,,,,,,,,,,,
also,adv.,而且(也)，此外(还)；同样地,,,,,,,,,,,,,
alter,vt.,改变，更改；改做(衣服),vi.,改变，变化,,,,,,,altering,altered,altered,,
alternate,adj.,交替的，轮流的,v.,(使)交替，(使)轮流,,,,,,,alternating,alternated,alternated,,
alternative,n.,二选一；供选择的东西；取舍,adj.,二选一的,,,,,,,,,,,
although,conj.,尽管，虽然…但是,,,,,,,,,,,,,
altitude,n.,高度，海拔；[pl.]高处，高地,,,,,,,,,,,,,
altogether,adv.,完全，总之，全部地；总共；总而言之,,,,,,,,,,,,,
aluminum,n.,(aluminium)铝,,,,,,,,,,,,,
always,adv.,总是，无例外地；永远，始终,,,,,,,,,,,,,
amateur,adj.&n.,业余(水平)的(运动员、艺术家等),,,,,,,,,,,,,
amaze,vt.,使惊奇，使惊愕；使困惑,vi.,表现出惊奇,,,,,,,amazing,amazed,amazed,,
ambassador,n.,大使；特使，(派驻国际组织的)代表,,,,,,,,,,,,,
ambiguity,n.,歧义，模棱两可，含糊不清,,,,,,,,,,,,,非大纲单词
ambiguous,adj.,引起歧义的，模棱两可的，含糊不清的,,,,,,,,,,,,,
ambition,n.,对(成功、权力等)的强烈欲望，野心；雄心,,,,,,,,,,,,,
ambitious,adj.,有抱负的，雄心勃勃的；有野心的,,,,,,,,,,,,,
ambulance,n.,救护车，救护船，救护飞机,,,,,,,,,,,,,
amend,vt.,修改，修订，改进,,,,,,,,,amending,amended,amended,,
amiable,adj.,和蔼可亲的，友善的，亲切的,,,,,,,,,,,,,
amid,prep.,在…中间，在…之中，被…围绕,,,,,,,,,,,,,
among,prep.,在…之中；在一群(组)之中；于…之间,,,,,,,,,,,,,
amount,n.,总数，数量；数额,v.,"共计；等同,接近(to)",,,,,,,amounting,amounted,amounted,,
ample,adj.,充分的，富裕的；宽敞的，宽大的,,,,,,,,,,,,,
amplifier,n.,放大器，扩大器,,,,,,,,,,,,,
amplify,vt.,放大，增强；详述，详加解说,,,,,,,,,amplifying,amplified,amplified,,
amuse,vt.,向…提供娱乐，使…消遣；引人发笑,,,,,,,,,amusing,amused,amused,,
anaemia,n.,贫血，贫血症,,,,,,,,,,,,,非大纲单词
analogue,n.,类似物；相似体；模拟,,,,,,,,,,,,,
analogy,n.,类似，相似，类比，类推,,,,,,,,,,,,,
analyse,vt.,（analyze）分析，分解,,,,,,,,,analysing,analysed,analysed,,
analysis,n.,(pl.analyses)分析；分解,,,,,,,,,,,,,
analytic,adj.,(analytical)分析的；分解的,,,,,,,,,,,,,
ancestor,n.,祖宗，祖先；原型，先驱,,,,,,,,,,,,,
anchor,n.&v.,锚；危难时可依靠的人或物；用锚泊船,,,,,,,,,anchoring,anchored,anchored,,
ancient,adj.,古代的，古老的，古式的,,,,,,,,,,,,,
and,conj.,和，与，而且；那么；接连，又,,,,,,,,,,,,,
anecdote,n.,轶事，趣闻，短故事,,,,,,,,,,,,,
angel,n.,天使，安琪儿,,,,,,,,,,,,,
anger,n.,愤怒，气愤,vt.,使发怒，激怒,vi.,发怒,,,,,angering,angered,angered,,
angle,n.,角，角度,v.,钓鱼；(采用各种方法）取得,,,,,,,angling,angled,angled,,
angry,adj.,生气的，愤怒的；(天气)风雨交加的,,,,,,,,,,,,,
anguish,n.,(尤指心灵上的)极度痛苦，烦恼,,,,,,,,,,,,,
animal,n.,动物，野兽，牲畜,adj.,动物的，野兽的,,,,,,,,,,,
ankle,n.,足踝，踝关节,,,,,,,,,,,,,
anniversary,n.,周年，周年纪念日,,,,,,,,,,,,,
announce,v.,正式宣布；发表；通告；广播（电台节目）,,,,,,,,,announcing,announced,announced,,
annoy,vt.,使恼怒，使生气；打扰,vi.,招人讨厌,,,,,,,annoying,annoyed,annoyed,,
annual,adj.,每年的，一年生的,n.,年刊；一年生植物,,,,,,,,,,,
anonymous,adj.,匿名的，无名的，姓氏不明的,,,,,,,,,,,,,
another,adj.,另一个，又，再,pron.,另一个，类似的一个,,,,,,,,,,,
answer,vt.,回答，答复，答案,v.,回答，答复，响应,,,,,,,answering,answered,answered,,
ant,n.,蚁；蚂蚁,,,,,,,,,,,,,
antenna,n.,(无线电或电视的)天线,,,,,,,,,,,,,
anticipate,vt.,预料；期望；预先考虑；抢先；提前使用,,,,,,,,,anticipating,anticipated,anticipated,,
anticipation,n.,预期，期望，预料,,,,,,,,,,,,,非大纲单词
antique,adj.,古式的，过时的,n.,有价值的古物，古董,,,,,,,,,,,
anxiety,n.,挂念，焦虑，焦急，忧虑；渴望，热望,,,,,,,,,,,,,
anxious,adj.,焦虑的，担心的；急于(得到的)，渴望的,,,,,,,,,,,,,
any,adj.,"(用于否定句、疑问句等)什么,一些;任何的",,,,,,,,,,,,,
anybody,pron.,(否定句)任何人；(肯定句)随便哪个人,,,,,,,,,,,,,
anyhow,adv.,不管怎么说，无论如何；不论用何种方法,,,,,,,,,,,,,
anyone,pron.,(用于疑问句，否定式)任何人,,,,,,,,,,,,,
anything,pron.,任何东西(事物)；无论什么东西(事物),,,,,,,,,,,,,
anyway,adv.,不管怎么说，无论如何；不论以何种方式,,,,,,,,,,,,,
anywhere,adv.,无论哪里；(用于否定、疑问等)任何地方,,,,,,,,,,,,,
apart,adv.,分离，离开，隔开,adj.,分离的，分隔的,,,,,,,,,,,
apartment,n.,[英]房间，套间；[美]公寓,,,,,,,,,,,,,
apologise,v.,"(to,for)道歉，认错",,,,,,,,,apologising,apologised,apologised,,
apology,n.,道歉，认错，辩解，辩护,,,,,,,,,,,,,
appal,v.,使惊骇，使恐怖,,,,,,,,,appaling,appaled,appaled,,
apparatus,n.,器械，器具，仪器；机构，组织,,,,,,,,,,,,,
apparent,adj.,"表面上的,貌似真实的；显然的,明明白白的",,,,,,,,,,,,,
appeal,vi.,呼吁，恳求；申诉,n.,呼吁；申诉；吸引力,,,,,,,appealing,appealed,appealed,,
appear,vi.,出现；出场；问世；仿佛；出版，发表,,,,,,,,,appearing,appeared,appeared,,
appearance,n.,出现，露面；外表；(在会议等)作短暂露面,,,,,,,,,,,,,
appendix,n.,附录，附属物；阑尾，盲肠,,,,,,,,,,,,,
appetite,n.,食欲，胃口；欲望，性欲；爱好，趣味,,,,,,,,,,,,,
applaud,vt.,鼓掌欢迎；赞同,vi.,鼓掌欢迎，欢呼,,,,,,,applauding,applauded,applauded,,
applause,n.,鼓掌；喝彩；夸奖，赞扬,,,,,,,,,,,,,
apple,n.,苹果，苹果树,,,,,,,,,,,,,
appliance,n.,电器；器械，装置；应用，适用,,,,,,,,,,,,,
applicable,adj.,"可应用(实施)的；适当的,合适的",,,,,,,,,,,,,
application,n.,申请，请求，申请书；应用，实施，实用性,,,,,,,,,,,,,
apply,vi.,(以书面形式)申请；请求,vt.,应用；实施,,,,,,,applying,applied,applied,,
appoint,vt.,任命，委派；指定，约定(时间、地点等),,,,,,,,,appointing,appointed,appointed,,
appointment,n.,"约会,约定；任命,委派;委任的职位",,,,,,,,,,,,,
appraisal,n.,对…作出的评价；评价，鉴定，评估,,,,,,,,,,,,,
appreciate,vt.,为…表示感激，感谢；欣赏，赏识，评价,,,,,,,,,appreciating,appreciated,appreciated,,
apprenticeship,n.,学徒期，学徒身份,,,,,,,,,,,,,非大纲单词
approach,v.,靠近，接近,n.,"接近；途径，入门;方式,方法",,,,,,,approaching,approached,approached,,
appropriate,adj.,"适当的,恰当的,特有的",vt.,"拨给,挪用,盗用",,,,,,,appropriating,appropriated,appropriated,,
approval,n.,批准，通过；赞成，同意,,,,,,,,,,,,,
approve,v.,(of)赞成，赞许，同意；批准，审议，通过,,,,,,,,,approving,approved,approved,,
approximate,adj.,近似的,vi.,(to)接近,,,,,,,approximating,approximated,approximated,,
April,n.,四月,,,,,,,,,,,,,
apt,adj.,恰当的，适当的；易于…的，有…倾向的,,,,,,,,,,,,,
arbitrary,adj.,任意的，任性的，主观的；专断的，武断的,,,,,,,,,,,,,
arch,n.,拱门，桥拱洞,v.,拱起，(使)变成弓形,,,,,,,arching,arched,arched,,
architect,n.,建筑师；设计师；缔造者；创造者,,,,,,,,,,,,,
architecture,n.,建筑，建筑学；建筑式样或风格，建筑物,,,,,,,,,,,,,
area,n.,面积；地区，地域；领域，范围,,,,,,,,,,,,,
argue,vi.,辩论，争论,vt.,辩论，论证；说服，劝说,,,,,,,arguing,argued,argued,,
argument,n.,争论(吵)，辩论；理由;论证,,,,,,,,,,,,,
arise,v.,出现，发生；(from)由…引起，由…产生,,,,,,,,,arising,arose,arisen,,
arithmetic,n.,算术，四则运算,,,,,,,,,,,,,
arm,n.,手臂，扶手，臂状物,v.,武装；配备,n.,武器,,,,,arming,armed,armed,,
army,n.,军队，陆军，军；大群，大批,,,,,,,,,,,,,
around,adv.,在…周围，到处,prep.,在…四周(或附近),,,,,,,,,,,
arouse,vt.,唤醒，叫醒；唤起，激起,,,,,,,,,arousing,aroused,aroused,,
arrange,v.,安排，筹划；整理，使有条理，排列，布置,,,,,,,,,arranging,arranged,arranged,,
array,n.,大量；排列；盛装,v.,列阵；装扮；排列,,,,,,,arraying,arrayed,arrayed,,
arrest,n.,逮捕，扣留,vt.,逮捕，扣留；阻止；吸引,,,,,,,arresting,arrested,arrested,,
arrival,n.,到达，到来；到达者，到达物,,,,,,,,,,,,,
arrive,vi.,到达；(时间、事件)到来，发生；达到,,,,,,,,,arriving,arrived,arrived,,
arrogant,adj.,傲慢的，自大的,,,,,,,,,,,,,
arrow,n.,箭，矢，箭状物；箭头符号,,,,,,,,,,,,,
art,n.,艺术，美术；技术，技艺；文科，人文科学,,,,,,,,,,,,,
artery,n.,动脉；干线，要道,,,,,,,,,,,,,
article,n.,文章，论文；条款，条文；物件；冠词,,,,,,,,,,,,,
articulate,adj.,善于表达的；有关节相连的,v.,清楚地讲话,,,,,,,articulating,articulated,articulated,,
artificial,adj.,人工的，人造的，人为的；虚伪的，做作的,,,,,,,,,,,,,
artist,n.,艺术家，美术家；(某方面的)能手,,,,,,,,,,,,,
artistic,adj.,艺术(家)的，美术(家)的；善于艺术创作的,,,,,,,,,,,,,
as,adv.,同样地,conj.,由于；像…一样,prep.,作为,,,,,,,,,
ascend,vi.,渐渐上升，升高,vt.,攀登，登上,,,,,,,ascending,ascended,ascended,,
ascertain,vt.,确定，查明，弄清,,,,,,,,,ascertaining,ascertained,ascertained,,
ash,n.,灰，灰末；(pl.)骨灰；(pl.)废墟,,,,,,,,,,,,,
ashamed,adj.,惭愧的，羞耻的，害臊的,,,,,,,,,,,,,
ashore,adv.,上岸；在岸上，向岸上,,,,,,,,,,,,,
aside,adv.,在旁边，到一边,n.,旁白；离题的话,,,,,,,,,,,
ask,vt.,问，询问；请求，要求；邀请，约请,,,,,,,,,asking,asked,asked,,
asleep,adj.,睡觉，睡着(用作表语),,,,,,,,,,,,,
aspect,n.,"样子, 外表, 面貌,(问题等的)方面",,,,,,,,,,,,,
aspire,vi.,(to，after)渴望，追求，有志于,,,,,,,,,aspiring,aspired,aspired,,
assassinate,vt.,暗杀，行刺；中伤,,,,,,,,,assassinating,assassinated,assassinated,,
assault,v.,猛烈地攻击，袭击,n.,突然而猛烈的攻击,,,,,,,assaulting,assaulted,assaulted,,
assemble,vt.,集合，召集；装配；收集,vi.,集合，聚集,,,,,,,assembling,assembled,assembled,,
assembly,n.,集合；会议；装配；(美)洲议会的众议院,,,,,,,,,,,,,
assert,vt.,"断言,宣称；坚持；主张（权利、权威等）",,,,,,,,,asserting,asserted,asserted,,
assess,vt.,(为征税)评估(财产、收入)；征税；评价,,,,,,,,,assessing,assessed,assessed,,
asset,n.,"(pl.)资产,财产；有价值的物品；天赋",,,,,,,,,,,,,
assign,vt.,派给，分配；选定，指定(时间、地点等),,,,,,,,,assigning,assigned,assigned,,
assignment,n.,分配，指派；(指定的)作业，(分派的)任务,,,,,,,,,,,,,
assimilate,vt.,吸收，消化；使同化,vi.,被吸收；被同化,,,,,,,assimilating,assimilated,assimilated,,
assist,vt.,协助，帮助，促进,vi.,帮忙，参加,,,,,,,assisting,assisted,assisted,,
assistance,n.,协作; 援助; 帮助,,,,,,,,,,,,,
assistant,adj.,帮助的，辅助的,n.,助手，助教；辅助物,,,,,,,,,,,
associate,vt.,联想；交往；联合,n.,伙伴,adj.,联合的,,,,,associating,associated,associated,,
association,n.,联盟，协会，社团；交往，联合；联想,,,,,,,,,,,,,
assume,vt.,假装；假定，设想；承担；呈现，采取,,,,,,,,,assuming,assumed,assumed,,
assumption,n.,假定，设想；采取；承担；推测；假装,,,,,,,,,,,,,
assurance,n.,"保证,担保；确信,断言；信心,信念",,,,,,,,,,,,,
assure,vt.,使确信，使放心(of)；向…保证,,,,,,,,,assuring,assured,assured,,
astonish,vt.,使惊讶，使吃惊,,,,,,,,,astonishing,astonished,astonished,,
astronaut,n.,太空人，太空旅行者,,,,,,,,,,,,,
astronomy,n.,天文学,,,,,,,,,,,,,
at,prep.,[表示价格、速度等]以，达；在…方面,,,,,,,,,,,,,
athlete,n.,运动员，体育家，身强力壮的人,,,,,,,,,,,,,
atmosphere,n.,大气(层)；空气；气氛，环境；大气压,,,,,,,,,,,,,
atom,n.,原子；微粒，微量,,,,,,,,,,,,,
attach,v.,系，贴，装，连接；使成为一部分；使依恋,,,,,,,,,attaching,attached,attached,,
attack,v.&n.,攻击，抨击；着手，开始,n.,(病)发作,,,,,,,attacking,attacked,attacked,,
